u_id,tuition,in_state
146490,NULL,0
146506,12940,0
146506,7139,1
146533,16320,0
146603,12000,0
146603,9000,1
146612,36320,0
146667,14820,0
146685,9684,0
146685,6456,1
146719,48100,0
146728,18000,0
146755,24692,0
146816,12000,0
146977,8640,0
147004,14175,0
147004,10824,1
147013,32020,0
147031,25536,0
147129,16248,0
147244,40740,0
147341,42064,0
147369,13680,0
147378,9096,0
147378,7776,1
147396,17500,0
147411,10304,0
147411,8256,1
147536,13419,0
147590,21272,0
147660,42866,0
147679,33350,0
147697,13635,0
147703,9792,0
147767,62391,0
147776,20182,0
147776,10091,1
147800,12292,0
147800,10276,1
147828,36950,0
147916,15255,0
147916,10905,1
148007,10332,0
148007,8610,1
148016,31200,0
148131,31940,0
148256,6000,0
148256,5250,1
148292,16650,0
148292,10380,1
148380,19860,0
148380,9960,1
148405,34750,0
148487,33068,0
148496,35850,0
148511,30315,0
148575,22132,0
148584,36000,0
148593,23850,0
148627,34640,0
148654,16850,0
148654,9758,1
148672,12060,0
148672,10800,1
148821,6600,0
148821,6300,1
148876,12888,0
148885,32634,0
148937,5400,0
148937,5160,1
148982,18900,0
148991,11700,0
148991,10620,1
149028,26368,0
149222,9638,0
149231,8674,0
149310,10350,0
149329,16000,0
149365,12150,0
149365,10500,1
149505,33800,0
149514,32998,0
149532,13950,0
149532,11010,1
149639,27670,0
149727,11304,0
149727,10434,1
149763,22608,0
149772,9130,0
149781,41990,0
149842,11184,0
149842,9372,1
150066,33070,0
150136,25918,0
150136,8434,1
150145,31480,0
150163,43470,0
150172,20500,0
150215,12780,0
150251,9480,0
150288,33075,0
150400,54400,0
150455,49218,0
150534,40100,0
150604,35636,0
150668,36660,0
150677,27242,0
150756,40336,0
150774,33500,0
150941,27914,0
150987,8777,0
150987,4487,1
151102,20403,0
151102,7815,1
151111,31410,0
151111,8972,1
151263,33252,0
151290,29064,0
151306,21140,0
151306,9095,1
151324,20880,0
151324,9452,1
151333,20634,0
151333,7274,1
151342,20634,0
151342,7274,1
151351,37685,0
151351,10012,1
151360,20634,0
151360,7274,1
151379,20634,0
