u_id,assoc,sport
198419,NCAA,WBB
198419,NCAA,MBA
198419,NCAA,MTR
198419,NCAA,WTR
198464,NCAA,MFB
198464,NCAA,MBB
198464,NCAA,WBB
198464,NCAA,MBA
198464,NCAA,MTR
198464,NCAA,WTR
198507,NCAA,MFB
198507,NCAA,MBB
198507,NCAA,WBB
198507,NCAA,MBA
198507,NCAA,MTR
198507,NCAA,WTR
198516,NCAA,MFB
198516,NCAA,MBB
198516,NCAA,WBB
198516,NCAA,MBA
198516,NCAA,MTR
198516,NCAA,WTR
198543,NCAA,MFB
198543,NCAA,MBB
198543,NCAA,WBB
198543,NCAA,MTR
198543,NCAA,WTR
198561,NCAA,MFB
198561,NCAA,MBB
198561,NCAA,WBB
198561,NCAA,MBA
198561,NCAA,MTR
198561,NCAA,WTR
198598,NCAA,MFB
198598,NCAA,MBB
198598,NCAA,WBB
198598,NCAA,MBA
198613,NCAA,MFB
198613,NCAA,MBB
198613,NCAA,WBB
198613,NCAA,MBA
198613,NCAA,MTR
198613,NCAA,WTR
198695,NCAA,MBB
198695,NCAA,WBB
198695,NCAA,MBA
198695,NCAA,MTR
198695,NCAA,WTR
198756,NCAA,MFB
198756,NCAA,MBB
198756,NCAA,WBB
198756,NCAA,MTR
198756,NCAA,WTR
198808,NCAA,MBB
198808,NCAA,WBB
198808,NCAA,MTR
198808,NCAA,WTR
198835,NCAA,MFB
198835,NCAA,MBB
198835,NCAA,WBB
198835,NCAA,MBA
198835,NCAA,MTR
198835,NCAA,WTR
198862,NCAA,MFB
198862,NCAA,MBB
198862,NCAA,WBB
198862,NCAA,MTR
198862,NCAA,WTR
198899,NCAA,MFB
198899,NCAA,MBB
198899,NCAA,WBB
198899,NCAA,MBA
198899,NCAA,MTR
198899,NCAA,WTR
198950,NCAA,MBB
198950,NCAA,WBB
198950,NCAA,MTR
198950,NCAA,WTR
198969,NCAA,MFB
198969,NCAA,MBB
198969,NCAA,WBB
198969,NCAA,MBA
198969,NCAA,MTR
198969,NCAA,WTR
199032,NAIA,MBB
199032,NAIA,WBB
199032,NAIA,MBA
199032,NAIA,MTR
199032,NAIA,WTR
199069,NCAA,MBB
199069,NCAA,WBB
199069,NCAA,MBA
199069,NCAA,MTR
199069,NCAA,WTR
199102,NCAA,MFB
199102,NCAA,MBB
199102,NCAA,WBB
199102,NCAA,MBA
199102,NCAA,MTR
199102,NCAA,WTR
199111,NCAA,MBB
199111,NCAA,WBB
199111,NCAA,MBA
199111,NCAA,MTR
199111,NCAA,WTR
199120,NCAA,MFB
199120,NCAA,MBB
199120,NCAA,WBB
199120,NCAA,MBA
199120,NCAA,MTR
199120,NCAA,WTR
199139,NCAA,MFB
199139,NCAA,MBB
199139,NCAA,WBB
199139,NCAA,MBA
199139,NCAA,MTR
199139,NCAA,WTR
199148,NCAA,MBB
199148,NCAA,WBB
199148,NCAA,MBA
199148,NCAA,MTR
199148,NCAA,WTR
199157,NCAA,MFB
199157,NCAA,MBB
199157,NCAA,WBB
199157,NCAA,MTR
199157,NCAA,WTR
199193,NCAA,MFB
